Parameter,Value,Dataset,DatasetType,ARI,NMI
epsilon,0.5,noisy_circles,synthetic,0.0,0.0
epsilon,0.55,noisy_circles,synthetic,0.0,0.0
epsilon,0.6,noisy_circles,synthetic,0.0,0.0
epsilon,0.65,noisy_circles,synthetic,0.0,0.0
epsilon,0.7,noisy_circles,synthetic,0.0,0.0
epsilon,0.75,noisy_circles,synthetic,0.0,0.0
epsilon,0.8,noisy_circles,synthetic,0.0,0.0
epsilon,0.85,noisy_circles,synthetic,1.0,1.0
epsilon,0.9,noisy_circles,synthetic,0.7496,0.8001
epsilon,0.95,noisy_circles,synthetic,0.0821,0.3478
epsilon,0.5,noisy_moons,synthetic,0.0,0.0
epsilon,0.55,noisy_moons,synthetic,0.0,0.0
epsilon,0.6,noisy_moons,synthetic,0.0,0.0
epsilon,0.65,noisy_moons,synthetic,0.4398,0.3469
epsilon,0.7,noisy_moons,synthetic,0.5467,0.4427
epsilon,0.75,noisy_moons,synthetic,0.705,0.5983
epsilon,0.8,noisy_moons,synthetic,1.0,1.0
epsilon,0.85,noisy_moons,synthetic,1.0,1.0
epsilon,0.9,noisy_moons,synthetic,1.0,1.0
epsilon,0.95,noisy_moons,synthetic,0.3005,0.4822
epsilon,0.5,varied,synthetic,0.4772,0.5559
epsilon,0.55,varied,synthetic,0.4541,0.5285
epsilon,0.6,varied,synthetic,0.4464,0.5201
epsilon,0.65,varied,synthetic,0.4822,0.5623
epsilon,0.7,varied,synthetic,0.5135,0.605
epsilon,0.75,varied,synthetic,0.5252,0.624
epsilon,0.8,varied,synthetic,0.4767,0.5545
epsilon,0.85,varied,synthetic,0.792,0.7788
epsilon,0.9,varied,synthetic,0.7323,0.7398
epsilon,0.95,varied,synthetic,0.714,0.6407
epsilon,0.5,data1,synthetic,0.3749,0.5212
epsilon,0.55,data1,synthetic,0.3748,0.5211
epsilon,0.6,data1,synthetic,0.3658,0.5
epsilon,0.65,data1,synthetic,0.3479,0.474
epsilon,0.7,data1,synthetic,0.3786,0.5315
epsilon,0.75,data1,synthetic,0.8033,0.8131
epsilon,0.8,data1,synthetic,0.4923,0.6294
epsilon,0.85,data1,synthetic,0.777,0.7839
epsilon,0.9,data1,synthetic,0.8232,0.814
epsilon,0.95,data1,synthetic,0.902,0.8516
epsilon,0.5,data2,synthetic,0.0,0.0
epsilon,0.55,data2,synthetic,0.0,0.0
epsilon,0.6,data2,synthetic,0.0,0.0
epsilon,0.65,data2,synthetic,0.0,0.0
epsilon,0.7,data2,synthetic,0.6655,0.6528
epsilon,0.75,data2,synthetic,0.6655,0.6528
epsilon,0.8,data2,synthetic,0.6649,0.6549
epsilon,0.85,data2,synthetic,0.6657,0.6522
epsilon,0.9,data2,synthetic,0.8442,0.8274
epsilon,0.95,data2,synthetic,0.4924,0.6497
epsilon,0.5,iris,real-world,0.0,0.0
epsilon,0.55,iris,real-world,0.0,0.0
epsilon,0.6,iris,real-world,0.5681,0.7337
epsilon,0.65,iris,real-world,0.5681,0.7337
epsilon,0.7,iris,real-world,0.5681,0.7337
epsilon,0.75,iris,real-world,0.5681,0.7337
epsilon,0.8,iris,real-world,0.5681,0.7337
epsilon,0.85,iris,real-world,0.5578,0.7005
epsilon,0.9,iris,real-world,0.7247,0.74
epsilon,0.95,iris,real-world,0.2856,0.4383
epsilon,0.5,glass,real-world,0.0106,0.0344
epsilon,0.55,glass,real-world,0.0106,0.0344
epsilon,0.6,glass,real-world,0.0106,0.0344
epsilon,0.65,glass,real-world,0.0196,0.0555
epsilon,0.7,glass,real-world,0.0171,0.0497
epsilon,0.75,glass,real-world,0.0218,0.061
epsilon,0.8,glass,real-world,0.2267,0.3868
epsilon,0.85,glass,real-world,0.2485,0.428
epsilon,0.9,glass,real-world,0.2559,0.4452
epsilon,0.95,glass,real-world,0.1541,0.3275
epsilon,0.5,ecoli,real-world,0.0,0.0
epsilon,0.55,ecoli,real-world,0.0044,0.021
epsilon,0.6,ecoli,real-world,0.0381,0.1183
epsilon,0.65,ecoli,real-world,0.4296,0.5302
epsilon,0.7,ecoli,real-world,0.4097,0.4984
epsilon,0.75,ecoli,real-world,0.4347,0.5135
epsilon,0.8,ecoli,real-world,0.4904,0.5702
epsilon,0.85,ecoli,real-world,0.6553,0.5883
epsilon,0.9,ecoli,real-world,0.1397,0.3892
epsilon,0.95,ecoli,real-world,-0.0561,0.1026
epsilon,0.5,wisc,real-world,0.0,0.0
epsilon,0.55,wisc,real-world,0.0,0.0
epsilon,0.6,wisc,real-world,0.0052,0.0092
epsilon,0.65,wisc,real-world,0.013,0.0223
epsilon,0.7,wisc,real-world,0.7235,0.5778
epsilon,0.75,wisc,real-world,0.6955,0.5205
epsilon,0.8,wisc,real-world,0.7295,0.5274
epsilon,0.85,wisc,real-world,0.8067,0.6418
epsilon,0.9,wisc,real-world,0.7623,0.6776
epsilon,0.95,wisc,real-world,0.457,0.4534
delta,0.1,noisy_circles,synthetic,0.3806,0.5536
delta,0.2,noisy_circles,synthetic,0.5796,0.6499
delta,0.3,noisy_circles,synthetic,0.7827,0.7877
delta,0.4,noisy_circles,synthetic,0.9003,0.8877
delta,0.5,noisy_circles,synthetic,0.9003,0.8877
delta,0.6,noisy_circles,synthetic,1.0,1.0
delta,0.7,noisy_circles,synthetic,1.0,1.0
delta,0.8,noisy_circles,synthetic,1.0,1.0
delta,0.9,noisy_circles,synthetic,1.0,1.0
delta,0.1,noisy_moons,synthetic,0.3779,0.5732
delta,0.2,noisy_moons,synthetic,0.3946,0.5809
delta,0.3,noisy_moons,synthetic,0.842,0.8486
delta,0.4,noisy_moons,synthetic,0.842,0.8486
delta,0.5,noisy_moons,synthetic,0.842,0.8486
delta,0.6,noisy_moons,synthetic,0.842,0.8486
delta,0.7,noisy_moons,synthetic,0.842,0.8486
delta,0.8,noisy_moons,synthetic,1.0,1.0
delta,0.9,noisy_moons,synthetic,1.0,1.0
delta,0.1,varied,synthetic,0.6802,0.6963
delta,0.2,varied,synthetic,0.6802,0.6963
delta,0.3,varied,synthetic,0.6802,0.6963
delta,0.4,varied,synthetic,0.6802,0.6963
delta,0.5,varied,synthetic,0.6802,0.6963
delta,0.6,varied,synthetic,0.6802,0.6963
delta,0.7,varied,synthetic,0.6802,0.6963
delta,0.8,varied,synthetic,0.7113,0.7208
delta,0.9,varied,synthetic,0.792,0.7788
delta,0.1,data1,synthetic,0.6008,0.6788
delta,0.2,data1,synthetic,0.602,0.6796
delta,0.3,data1,synthetic,0.602,0.6796
delta,0.4,data1,synthetic,0.602,0.6796
delta,0.5,data1,synthetic,0.602,0.6796
delta,0.6,data1,synthetic,0.602,0.6796
delta,0.7,data1,synthetic,0.5781,0.6706
delta,0.8,data1,synthetic,0.777,0.7839
delta,0.9,data1,synthetic,0.777,0.7839
delta,0.1,data2,synthetic,0.5945,0.5969
delta,0.2,data2,synthetic,0.4495,0.5204
delta,0.3,data2,synthetic,0.464,0.505
delta,0.4,data2,synthetic,0.4824,0.536
delta,0.5,data2,synthetic,0.669,0.6525
delta,0.6,data2,synthetic,0.669,0.6525
delta,0.7,data2,synthetic,0.669,0.6525
delta,0.8,data2,synthetic,0.5086,0.5778
delta,0.9,data2,synthetic,0.6657,0.6522
delta,0.1,iris,real-world,0.5578,0.7005
delta,0.2,iris,real-world,0.5578,0.7005
delta,0.3,iris,real-world,0.5578,0.7005
delta,0.4,iris,real-world,0.5578,0.7005
delta,0.5,iris,real-world,0.5578,0.7005
delta,0.6,iris,real-world,0.5578,0.7005
delta,0.7,iris,real-world,0.5578,0.7005
delta,0.8,iris,real-world,0.5578,0.7005
delta,0.9,iris,real-world,0.5578,0.7005
delta,0.1,glass,real-world,0.2485,0.428
delta,0.2,glass,real-world,0.2485,0.428
delta,0.3,glass,real-world,0.2485,0.428
delta,0.4,glass,real-world,0.2485,0.428
delta,0.5,glass,real-world,0.2485,0.428
delta,0.6,glass,real-world,0.2485,0.428
delta,0.7,glass,real-world,0.2485,0.428
delta,0.8,glass,real-world,0.2485,0.428
delta,0.9,glass,real-world,0.2485,0.428
delta,0.1,ecoli,real-world,0.6553,0.5883
delta,0.2,ecoli,real-world,0.6553,0.5883
delta,0.3,ecoli,real-world,0.6553,0.5883
delta,0.4,ecoli,real-world,0.6553,0.5883
delta,0.5,ecoli,real-world,0.6553,0.5883
delta,0.6,ecoli,real-world,0.6553,0.5883
delta,0.7,ecoli,real-world,0.6553,0.5883
delta,0.8,ecoli,real-world,0.6553,0.5883
delta,0.9,ecoli,real-world,0.6553,0.5883
delta,0.1,wisc,real-world,0.8067,0.6418
delta,0.2,wisc,real-world,0.8067,0.6418
delta,0.3,wisc,real-world,0.8067,0.6418
delta,0.4,wisc,real-world,0.8067,0.6418
delta,0.5,wisc,real-world,0.8067,0.6418
delta,0.6,wisc,real-world,0.8067,0.6418
delta,0.7,wisc,real-world,0.8067,0.6418
delta,0.8,wisc,real-world,0.8067,0.6418
delta,0.9,wisc,real-world,0.8067,0.6418
beta,2.0,noisy_circles,synthetic,0.842,0.8486
beta,3.0,noisy_circles,synthetic,1.0,1.0
beta,4.0,noisy_circles,synthetic,1.0,1.0
beta,5.0,noisy_circles,synthetic,1.0,1.0
beta,6.0,noisy_circles,synthetic,1.0,1.0
beta,7.0,noisy_circles,synthetic,1.0,1.0
beta,8.0,noisy_circles,synthetic,1.0,1.0
beta,10.0,noisy_circles,synthetic,1.0,1.0
beta,2.0,noisy_moons,synthetic,1.0,1.0
beta,3.0,noisy_moons,synthetic,1.0,1.0
beta,4.0,noisy_moons,synthetic,1.0,1.0
beta,5.0,noisy_moons,synthetic,1.0,1.0
beta,6.0,noisy_moons,synthetic,1.0,1.0
beta,7.0,noisy_moons,synthetic,1.0,1.0
beta,8.0,noisy_moons,synthetic,1.0,1.0
beta,10.0,noisy_moons,synthetic,1.0,1.0
beta,2.0,varied,synthetic,0.7643,0.7463
beta,3.0,varied,synthetic,0.792,0.7788
beta,4.0,varied,synthetic,0.792,0.7788
beta,5.0,varied,synthetic,0.792,0.7788
beta,6.0,varied,synthetic,0.792,0.7788
beta,7.0,varied,synthetic,0.792,0.7788
beta,8.0,varied,synthetic,0.792,0.7788
beta,10.0,varied,synthetic,0.792,0.7788
beta,2.0,data1,synthetic,0.7972,0.7889
beta,3.0,data1,synthetic,0.8077,0.7969
beta,4.0,data1,synthetic,0.777,0.7839
beta,5.0,data1,synthetic,0.777,0.7839
beta,6.0,data1,synthetic,0.777,0.7839
beta,7.0,data1,synthetic,0.777,0.7839
beta,8.0,data1,synthetic,0.522,0.6615
beta,10.0,data1,synthetic,0.3789,0.532
beta,2.0,data2,synthetic,0.6959,0.6639
beta,3.0,data2,synthetic,0.6835,0.6582
beta,4.0,data2,synthetic,0.6657,0.6522
beta,5.0,data2,synthetic,0.6657,0.6522
beta,6.0,data2,synthetic,0.6657,0.6522
beta,7.0,data2,synthetic,0.6657,0.6522
beta,8.0,data2,synthetic,0.6657,0.6522
beta,10.0,data2,synthetic,0.6657,0.6522
beta,2.0,iris,real-world,0.5578,0.7005
beta,3.0,iris,real-world,0.5578,0.7005
beta,4.0,iris,real-world,0.5578,0.7005
beta,5.0,iris,real-world,0.5578,0.7005
beta,6.0,iris,real-world,0.5578,0.7005
beta,7.0,iris,real-world,0.5578,0.7005
beta,8.0,iris,real-world,0.5578,0.7005
beta,10.0,iris,real-world,0.5578,0.7005
beta,2.0,glass,real-world,0.2485,0.428
beta,3.0,glass,real-world,0.2485,0.428
beta,4.0,glass,real-world,0.2485,0.428
beta,5.0,glass,real-world,0.2485,0.428
beta,6.0,glass,real-world,0.2485,0.428
beta,7.0,glass,real-world,0.2485,0.428
beta,8.0,glass,real-world,0.2485,0.428
beta,10.0,glass,real-world,0.2485,0.428
beta,2.0,ecoli,real-world,0.6609,0.5748
beta,3.0,ecoli,real-world,0.6493,0.577
beta,4.0,ecoli,real-world,0.6553,0.5883
beta,5.0,ecoli,real-world,0.6553,0.5883
beta,6.0,ecoli,real-world,0.6553,0.5883
beta,7.0,ecoli,real-world,0.6553,0.5883
beta,8.0,ecoli,real-world,0.6553,0.5883
beta,10.0,ecoli,real-world,0.6553,0.5883
beta,2.0,wisc,real-world,0.8067,0.6418
beta,3.0,wisc,real-world,0.8067,0.6418
beta,4.0,wisc,real-world,0.8067,0.6418
beta,5.0,wisc,real-world,0.8067,0.6418
beta,6.0,wisc,real-world,0.8067,0.6418
beta,7.0,wisc,real-world,0.8067,0.6418
beta,8.0,wisc,real-world,0.8067,0.6418
beta,10.0,wisc,real-world,0.8067,0.6418
theta,0.05,noisy_circles,synthetic,1.0,1.0
theta,0.1,noisy_circles,synthetic,1.0,1.0
theta,0.15,noisy_circles,synthetic,1.0,1.0
theta,0.2,noisy_circles,synthetic,1.0,1.0
theta,0.25,noisy_circles,synthetic,1.0,1.0
theta,0.3,noisy_circles,synthetic,1.0,1.0
theta,0.35,noisy_circles,synthetic,1.0,1.0
theta,0.4,noisy_circles,synthetic,1.0,1.0
theta,0.45,noisy_circles,synthetic,1.0,1.0
theta,0.05,noisy_moons,synthetic,1.0,1.0
theta,0.1,noisy_moons,synthetic,1.0,1.0
theta,0.15,noisy_moons,synthetic,1.0,1.0
theta,0.2,noisy_moons,synthetic,1.0,1.0
theta,0.25,noisy_moons,synthetic,1.0,1.0
theta,0.3,noisy_moons,synthetic,1.0,1.0
theta,0.35,noisy_moons,synthetic,1.0,1.0
theta,0.4,noisy_moons,synthetic,1.0,1.0
theta,0.45,noisy_moons,synthetic,1.0,1.0
theta,0.05,varied,synthetic,0.792,0.7788
theta,0.1,varied,synthetic,0.792,0.7788
theta,0.15,varied,synthetic,0.792,0.7788
theta,0.2,varied,synthetic,0.792,0.7788
theta,0.25,varied,synthetic,0.792,0.7788
theta,0.3,varied,synthetic,0.792,0.7788
theta,0.35,varied,synthetic,0.792,0.7788
theta,0.4,varied,synthetic,0.792,0.7788
theta,0.45,varied,synthetic,0.792,0.7788
theta,0.05,data1,synthetic,0.777,0.7839
theta,0.1,data1,synthetic,0.777,0.7839
theta,0.15,data1,synthetic,0.777,0.7839
theta,0.2,data1,synthetic,0.777,0.7839
theta,0.25,data1,synthetic,0.777,0.7839
theta,0.3,data1,synthetic,0.777,0.7839
theta,0.35,data1,synthetic,0.777,0.7839
theta,0.4,data1,synthetic,0.777,0.7839
theta,0.45,data1,synthetic,0.777,0.7839
theta,0.05,data2,synthetic,0.6657,0.6522
theta,0.1,data2,synthetic,0.6657,0.6522
theta,0.15,data2,synthetic,0.6657,0.6522
theta,0.2,data2,synthetic,0.6657,0.6522
theta,0.25,data2,synthetic,0.6657,0.6522
theta,0.3,data2,synthetic,0.6657,0.6522
theta,0.35,data2,synthetic,0.6657,0.6522
theta,0.4,data2,synthetic,0.6657,0.6522
theta,0.45,data2,synthetic,0.6657,0.6522
theta,0.05,iris,real-world,0.5578,0.7005
theta,0.1,iris,real-world,0.5578,0.7005
theta,0.15,iris,real-world,0.5578,0.7005
theta,0.2,iris,real-world,0.5578,0.7005
theta,0.25,iris,real-world,0.5578,0.7005
theta,0.3,iris,real-world,0.5578,0.7005
theta,0.35,iris,real-world,0.5578,0.7005
theta,0.4,iris,real-world,0.5578,0.7005
theta,0.45,iris,real-world,0.5578,0.7005
theta,0.05,glass,real-world,0.2485,0.428
theta,0.1,glass,real-world,0.2485,0.428
theta,0.15,glass,real-world,0.2485,0.428
theta,0.2,glass,real-world,0.2485,0.428
theta,0.25,glass,real-world,0.2485,0.428
theta,0.3,glass,real-world,0.2485,0.428
theta,0.35,glass,real-world,0.2485,0.428
theta,0.4,glass,real-world,0.2485,0.428
theta,0.45,glass,real-world,0.2485,0.428
theta,0.05,ecoli,real-world,0.6553,0.5883
theta,0.1,ecoli,real-world,0.6553,0.5883
theta,0.15,ecoli,real-world,0.6553,0.5883
theta,0.2,ecoli,real-world,0.6553,0.5883
theta,0.25,ecoli,real-world,0.6553,0.5883
theta,0.3,ecoli,real-world,0.6553,0.5883
theta,0.35,ecoli,real-world,0.6553,0.5883
theta,0.4,ecoli,real-world,0.6553,0.5883
theta,0.45,ecoli,real-world,0.6553,0.5883
theta,0.05,wisc,real-world,0.8067,0.6418
theta,0.1,wisc,real-world,0.8067,0.6418
theta,0.15,wisc,real-world,0.8067,0.6418
theta,0.2,wisc,real-world,0.8067,0.6418
theta,0.25,wisc,real-world,0.8067,0.6418
theta,0.3,wisc,real-world,0.8067,0.6418
theta,0.35,wisc,real-world,0.8067,0.6418
theta,0.4,wisc,real-world,0.8067,0.6418
theta,0.45,wisc,real-world,0.8067,0.6418
lambda_value,0.1,noisy_circles,synthetic,1.0,1.0
lambda_value,0.2,noisy_circles,synthetic,1.0,1.0
lambda_value,0.3,noisy_circles,synthetic,1.0,1.0
lambda_value,0.4,noisy_circles,synthetic,1.0,1.0
lambda_value,0.5,noisy_circles,synthetic,1.0,1.0
lambda_value,0.6,noisy_circles,synthetic,1.0,1.0
lambda_value,0.7,noisy_circles,synthetic,1.0,1.0
lambda_value,0.8,noisy_circles,synthetic,1.0,1.0
lambda_value,0.9,noisy_circles,synthetic,1.0,1.0
lambda_value,0.1,noisy_moons,synthetic,1.0,1.0
lambda_value,0.2,noisy_moons,synthetic,1.0,1.0
lambda_value,0.3,noisy_moons,synthetic,1.0,1.0
lambda_value,0.4,noisy_moons,synthetic,1.0,1.0
lambda_value,0.5,noisy_moons,synthetic,1.0,1.0
lambda_value,0.6,noisy_moons,synthetic,1.0,1.0
lambda_value,0.7,noisy_moons,synthetic,1.0,1.0
lambda_value,0.8,noisy_moons,synthetic,1.0,1.0
lambda_value,0.9,noisy_moons,synthetic,1.0,1.0
lambda_value,0.1,varied,synthetic,0.792,0.7788
lambda_value,0.2,varied,synthetic,0.792,0.7788
lambda_value,0.3,varied,synthetic,0.792,0.7788
lambda_value,0.4,varied,synthetic,0.792,0.7788
lambda_value,0.5,varied,synthetic,0.792,0.7788
lambda_value,0.6,varied,synthetic,0.792,0.7788
lambda_value,0.7,varied,synthetic,0.792,0.7788
lambda_value,0.8,varied,synthetic,0.792,0.7788
lambda_value,0.9,varied,synthetic,0.792,0.7788
lambda_value,0.1,data1,synthetic,0.777,0.7839
lambda_value,0.2,data1,synthetic,0.777,0.7839
lambda_value,0.3,data1,synthetic,0.777,0.7839
lambda_value,0.4,data1,synthetic,0.777,0.7839
lambda_value,0.5,data1,synthetic,0.777,0.7839
lambda_value,0.6,data1,synthetic,0.777,0.7839
lambda_value,0.7,data1,synthetic,0.777,0.7839
lambda_value,0.8,data1,synthetic,0.777,0.7839
lambda_value,0.9,data1,synthetic,0.777,0.7839
lambda_value,0.1,data2,synthetic,0.6657,0.6522
lambda_value,0.2,data2,synthetic,0.6657,0.6522
lambda_value,0.3,data2,synthetic,0.6657,0.6522
lambda_value,0.4,data2,synthetic,0.6657,0.6522
lambda_value,0.5,data2,synthetic,0.6657,0.6522
lambda_value,0.6,data2,synthetic,0.6657,0.6522
lambda_value,0.7,data2,synthetic,0.6657,0.6522
lambda_value,0.8,data2,synthetic,0.6657,0.6522
lambda_value,0.9,data2,synthetic,0.6657,0.6522
lambda_value,0.1,iris,real-world,0.5578,0.7005
lambda_value,0.2,iris,real-world,0.5578,0.7005
lambda_value,0.3,iris,real-world,0.5578,0.7005
lambda_value,0.4,iris,real-world,0.5578,0.7005
lambda_value,0.5,iris,real-world,0.5578,0.7005
lambda_value,0.6,iris,real-world,0.5578,0.7005
lambda_value,0.7,iris,real-world,0.5578,0.7005
lambda_value,0.8,iris,real-world,0.5578,0.7005
lambda_value,0.9,iris,real-world,0.5578,0.7005
lambda_value,0.1,glass,real-world,0.2485,0.428
lambda_value,0.2,glass,real-world,0.2485,0.428
lambda_value,0.3,glass,real-world,0.2485,0.428
lambda_value,0.4,glass,real-world,0.2485,0.428
lambda_value,0.5,glass,real-world,0.2485,0.428
lambda_value,0.6,glass,real-world,0.2485,0.428
lambda_value,0.7,glass,real-world,0.2485,0.428
lambda_value,0.8,glass,real-world,0.2485,0.428
lambda_value,0.9,glass,real-world,0.2485,0.428
lambda_value,0.1,ecoli,real-world,0.6553,0.5883
lambda_value,0.2,ecoli,real-world,0.6553,0.5883
lambda_value,0.3,ecoli,real-world,0.6553,0.5883
lambda_value,0.4,ecoli,real-world,0.6553,0.5883
lambda_value,0.5,ecoli,real-world,0.6553,0.5883
lambda_value,0.6,ecoli,real-world,0.6553,0.5883
lambda_value,0.7,ecoli,real-world,0.6553,0.5883
lambda_value,0.8,ecoli,real-world,0.6553,0.5883
lambda_value,0.9,ecoli,real-world,0.6553,0.5883
lambda_value,0.1,wisc,real-world,0.8067,0.6418
lambda_value,0.2,wisc,real-world,0.8067,0.6418
lambda_value,0.3,wisc,real-world,0.8067,0.6418
lambda_value,0.4,wisc,real-world,0.8067,0.6418
lambda_value,0.5,wisc,real-world,0.8067,0.6418
lambda_value,0.6,wisc,real-world,0.8067,0.6418
lambda_value,0.7,wisc,real-world,0.8067,0.6418
lambda_value,0.8,wisc,real-world,0.8067,0.6418
lambda_value,0.9,wisc,real-world,0.8067,0.6418
